"","Model","AIC","BIC","LogLik"
"1","model0",-116.345997764771,-106.989992710232,63.1729988823856
"2","model",-116.169724078351,-104.942518012904,64.0848620391757
"3","model_interaction",-120.131390486471,-105.161782399208,68.0656952432357
